t,W,run_id,source,mechanism,beta_rhood
54,652.7774630187723,0,theory_rhood,rhood,0.05
55,652.7774630187723,0,theory_rhood,rhood,0.05
56,652.7774630187723,0,theory_rhood,rhood,0.05
57,652.7774630187723,0,theory_rhood,rhood,0.05
58,652.7774630187723,0,theory_rhood,rhood,0.05
59,652.7774630187723,0,theory_rhood,rhood,0.05
60,652.7774630187723,0,theory_rhood,rhood,0.05
61,652.7774630187723,0,theory_rhood,rhood,0.05
62,652.7774630187723,0,theory_rhood,rhood,0.05
63,652.7774630187723,0,theory_rhood,rhood,0.05
64,652.7774630187723,0,theory_rhood,rhood,0.05
65,652.7774630187723,0,theory_rhood,rhood,0.05
66,652.7774630187723,0,theory_rhood,rhood,0.05
67,652.7774630187723,0,theory_rhood,rhood,0.05
68,652.7774630187723,0,theory_rhood,rhood,0.05
69,652.7774630187723,0,theory_rhood,rhood,0.05
70,652.7774630187723,0,theory_rhood,rhood,0.05
71,652.7774630187723,0,theory_rhood,rhood,0.05
72,652.7774630187723,0,theory_rhood,rhood,0.05
73,652.7774630187723,0,theory_rhood,rhood,0.05
74,652.7774630187723,0,theory_rhood,rhood,0.05
75,652.7774630187723,0,theory_rhood,rhood,0.05
76,652.7774630187723,0,theory_rhood,rhood,0.05
77,652.7774630187723,0,theory_rhood,rhood,0.05
78,652.7774630187723,0,theory_rhood,rhood,0.05
79,652.7774630187723,0,theory_rhood,rhood,0.05
80,652.7774630187723,0,theory_rhood,rhood,0.05
81,652.7774630187723,0,theory_rhood,rhood,0.05
82,652.7774630187723,0,theory_rhood,rhood,0.05
83,652.7774630187723,0,theory_rhood,rhood,0.05
84,652.7774630187723,0,theory_rhood,rhood,0.05
85,652.7774630187723,0,theory_rhood,rhood,0.05
86,652.7774630187723,0,theory_rhood,rhood,0.05
87,652.7774630187723,0,theory_rhood,rhood,0.05
88,652.7774630187723,0,theory_rhood,rhood,0.05
89,652.7774630187723,0,theory_rhood,rhood,0.05
90,652.7774630187723,0,theory_rhood,rhood,0.05
91,652.7774630187723,0,theory_rhood,rhood,0.05
92,652.7774630187723,0,theory_rhood,rhood,0.05
93,652.7774630187723,0,theory_rhood,rhood,0.05
94,652.7774630187723,0,theory_rhood,rhood,0.05
95,652.7774630187723,0,theory_rhood,rhood,0.05
96,652.7774630187723,0,theory_rhood,rhood,0.05
97,652.7774630187723,0,theory_rhood,rhood,0.05
98,652.7774630187723,0,theory_rhood,rhood,0.05
99,652.7774630187723,0,theory_rhood,rhood,0.05
100,652.7774630187723,0,theory_rhood,rhood,0.05
0,1115.9313068244933,0,theory_rhood_async,rhood,0.05
1,1026.9414173077548,0,theory_rhood_async,rhood,0.05
2,1069.2465480237943,0,theory_rhood_async,rhood,0.05
3,1148.4963827850056,0,theory_rhood_async,rhood,0.05
4,1273.6666544325365,0,theory_rhood_async,rhood,0.05
5,1373.698108927872,0,theory_rhood_async,rhood,0.05
6,1503.0728478890094,0,theory_rhood_async,rhood,0.05
7,1553.3683142153131,0,theory_rhood_async,rhood,0.05
8,1612.6647525777425,0,theory_rhood_async,rhood,0.05
9,1657.3123837472826,0,theory_rhood_async,rhood,0.05
10,1676.7686925286678,0,theory_rhood_async,rhood,0.05
11,1721.399273867529,0,theory_rhood_async,rhood,0.05
12,1721.7256512650129,0,theory_rhood_async,rhood,0.05
13,1714.8956800712972,0,theory_rhood_async,rhood,0.05
14,1706.055822854046,0,theory_rhood_async,rhood,0.05
15,1701.8603822093082,0,theory_rhood_async,rhood,0.05
16,1690.8816948817557,0,theory_rhood_async,rhood,0.05
17,1657.1104842949808,0,theory_rhood_async,rhood,0.05
18,1631.669428301293,0,theory_rhood_async,rhood,0.05
19,1604.1337172225553,0,theory_rhood_async,rhood,0.05
20,1594.3264620257228,0,theory_rhood_async,rhood,0.05
21,1561.7487213558288,0,theory_rhood_async,rhood,0.05
22,1541.9493630480906,0,theory_rhood_async,rhood,0.05
23,1519.0335124043497,0,theory_rhood_async,rhood,0.05
