t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
51,0.0,0.635,0.365,1530.8087565257947,30.154132980596856,25,2.0
52,0.0,0.61,0.39,1589.6390163955036,32.26829880962477,25,2.0
53,0.0,0.63,0.37,1549.1446116906138,30.819252558519793,25,2.0
54,0.0,0.605,0.395,1595.9907641934797,32.48991040681939,25,2.0
55,0.0,0.615,0.385,1570.3029371258526,31.574093723137526,25,2.0
56,0.0,0.62,0.38,1561.5756982636449,31.260171630187752,25,2.0
57,0.0,0.645,0.355,1479.122050438878,28.240653217693698,25,2.0
58,0.0,0.605,0.395,1584.7963311097026,32.09336218720124,25,2.0
59,0.0,0.63,0.37,1537.5167135404558,30.391041753728544,25,2.0
60,0.0,0.595,0.405,1590.6075987770912,32.296459490606324,25,2.0
61,0.0,0.615,0.385,1560.0883509299995,31.20891226986756,25,2.0
62,0.0,0.63,0.37,1530.5503889639328,30.135868904942157,25,2.0
63,0.0,0.655,0.345,1480.4305687454173,28.284102216274796,25,2.0
64,0.0,0.615,0.385,1602.8406493828825,32.730304062735414,25,2.0
65,0.0,0.64,0.36,1558.0951821774916,31.13470451572034,25,2.0
66,0.0,0.645,0.355,1556.9776462549369,31.09441260675905,25,2.0
67,0.0,0.66,0.34,1508.013992025233,29.308777164255464,25,2.0
68,0.0,0.635,0.365,1550.8237755044536,30.867740450488153,25,2.0
69,0.0,0.655,0.345,1516.0601889624252,29.60161664407037,25,2.0
70,0.0,0.63,0.37,1564.829464202377,31.36965812117601,25,2.0
71,0.0,0.64,0.36,1532.7386167577963,30.20906156598616,25,2.0
72,0.0,0.61,0.39,1592.8420098564259,32.36794938209765,25,2.0
73,0.0,0.625,0.375,1575.6002743941233,31.75520867396297,25,2.0
74,0.0,0.635,0.365,1551.5423759255282,30.892986819871496,25,2.0
75,0.0,0.655,0.345,1501.6789958924976,29.07127851157636,25,2.0
76,0.0,0.615,0.385,1570.0341266720936,31.558070109328415,25,2.0
77,0.0,0.595,0.405,1597.8784893271973,32.5475738899059,25,2.0
78,0.0,0.605,0.395,1579.4075165420052,31.89423198790041,25,2.0
79,0.0,0.625,0.375,1557.595730399968,31.11494711743799,25,2.0
80,0.0,0.64,0.36,1513.6666417938127,29.514247372783966,25,2.0
81,0.0,0.65,0.35,1499.946989701989,29.008969248899277,25,2.0
82,0.0,0.615,0.385,1597.3216196602757,32.535306490388294,25,2.0
83,0.0,0.635,0.365,1549.6000025763867,30.831647976434514,25,2.0
84,0.0,0.62,0.38,1603.0757363011335,32.73990855921954,25,2.0
85,0.0,0.63,0.37,1586.5693911577619,32.1565671692846,25,2.0
86,0.0,0.655,0.345,1520.1836687941577,29.760699641331453,25,2.0
87,0.0,0.63,0.37,1571.8695017966113,31.63322853221929,25,2.0
88,0.0,0.65,0.35,1507.8326262072512,29.308075650132317,25,2.0
89,0.0,0.63,0.37,1566.2765087082653,31.441844933289353,25,2.0
90,0.0,0.645,0.355,1516.0089548101018,29.616262894015307,25,2.0
91,0.0,0.66,0.34,1485.012407189798,28.469354057256943,25,2.0
92,0.0,0.63,0.37,1559.8539399537276,31.20972019169523,25,2.0
93,0.0,0.655,0.345,1474.819869611668,28.08690014022922,25,2.0
94,0.0,0.62,0.38,1536.4271732587035,30.36820554597901,25,2.0
95,0.0,0.635,0.365,1508.198325818767,29.33585778306326,25,2.0
96,0.0,0.61,0.39,1590.9278753766787,32.33182623726161,25,2.0
97,0.0,0.635,0.365,1535.9506578298292,30.356312774585625,25,2.0
98,0.0,0.645,0.355,1518.1979037403944,29.7093621924852,25,2.0
99,0.0,0.625,0.375,1566.3646308844272,31.458387271674567,25,2.0
100,0.0,0.64,0.36,1547.685589088156,30.78366261940213,25,2.0
0,0.0,0.94,0.06,867.3600365373961,5.335363051260898,26,0.0
1,0.0,0.895,0.105,945.8755617648405,9.876496739757563,26,0.0
2,0.0,0.85,0.15,1051.2038100650725,14.752688944522667,26,0.0
3,0.0,0.805,0.195,1137.6803150664914,18.472707919707688,26,0.0
4,0.0,0.765,0.235,1238.4038748796233,22.556394104320077,26,0.0
5,0.0,0.72,0.28,1339.3094130011225,26.427125169932182,26,0.0
6,0.0,0.69,0.31,1438.8562683371572,30.040538277381206,26,0.0
7,0.0,0.665,0.335,1521.0376769709635,32.88888148651192,26,0.0
8,0.0,0.64,0.36,1594.7923321285546,35.35938278078545,26,0.0
9,0.0,0.605,0.395,1642.1881737452184,37.05747804313435,26,0.0
10,0.0,0.585,0.415,1709.0594737842414,39.809446973369965,26,0.0
11,0.0,0.55,0.45,1769.5727905748279,42.923439799332726,26,0.0
12,0.0,0.52,0.48,1810.2372203646023,45.70712318694271,26,0.0
13,0.0,0.495,0.505,1827.5421031651092,47.23834354987419,26,0.0
14,0.0,0.465,0.535,1844.8267420266184,49.28090965398903,26,0.0
15,0.0,0.445,0.555,1850.7884265821667,50.24864403970995,26,0.0
16,0.0,0.425,0.575,1856.7500096622193,51.64538125528053,26,0.0
17,0.0,0.41,0.59,1859.9755924822837,53.58733586211944,26,0.0
18,0.0,0.385,0.615,1859.308187357598,54.649144190798026,26,0.0
19,0.0,0.345,0.655,1839.2981163231661,58.93602684057504,26,0.0
20,0.0,0.325,0.675,1827.0977451823223,60.301143160669966,26,0.0
21,0.0,0.305,0.695,1809.3614018240607,61.91415691163749,26,0.0
22,0.0,0.3,0.7,1806.7590626220513,62.12326267465354,26,0.0
23,0.0,0.285,0.715,1799.1367885678465,62.71662390245427,26,0.0
24,0.0,0.28,0.72,1796.6008025230738,62.90712564995302,26,0.0
25,0.0,0.275,0.725,1795.7873714196758,62.96715153751583,26,0.0
26,0.0,0.26,0.74,1784.5819370978857,63.759477506290374,26,0.0
27,0.0,0.235,0.765,1752.7634278508274,65.72850611687903,26,0.0
28,0.0,0.21,0.79,1717.7862129331356,67.57921471055307,26,0.0
29,0.0,0.19,0.81,1637.5537646772573,71.12788883137961,26,0.0
30,0.0,0.175,0.825,1624.8325102705526,71.62864233230795,26,0.0
31,0.0,0.165,0.835,1616.1884536359928,71.96454358278908,26,0.0
32,0.0,0.155,0.845,1591.7891684784995,72.87803946653283,26,0.0
33,0.0,0.15,0.85,1581.5192085642236,73.24998923628331,26,0.0
34,0.0,0.145,0.855,1575.0486953222228,73.48241757024294,26,0.0
35,0.0,0.13,0.87,1548.4145288948814,74.41165758692411,26,0.0
36,0.0,0.125,0.875,1510.056723001191,75.69815453508957,26,0.0
37,0.0,0.125,0.875,1510.056723001191,75.69815453508957,26,0.0
38,0.0,0.12,0.88,1505.9762513381427,75.83037726706198,26,0.0
39,0.0,0.12,0.88,1505.9762513381427,75.83037726706198,26,0.0
40,0.0,0.105,0.895,1483.4287573799675,76.54872179627739,26,0.0
41,0.0,0.095,0.905,1408.419376140058,78.79528985239719,26,0.0
42,0.0,0.095,0.905,1408.419376140058,78.79528985239719,26,0.0
43,0.0,0.085,0.915,1393.8368867431805,79.21307194813846,26,0.0
44,0.0,0.085,0.915,1393.8368867431805,79.21307194813846,26,0.0
45,0.0,0.08,0.92,1367.9284087650917,79.94545620512375,26,0.0
46,0.0,0.08,0.92,1367.9284087650917,79.94545620512375,26,0.0
47,0.0,0.08,0.92,1367.9284087650917,79.94545620512375,26,0.0
48,0.0,0.08,0.92,1367.9284087650917,79.94545620512375,26,0.0
49,0.0,0.07,0.93,1335.958741866535,80.81774795912585,26,0.0
50,0.0,0.065,0.935,1322.373126550358,81.18409829291579,26,0.0
51,0.0,0.065,0.935,1322.373126550358,81.18409829291579,26,0.0
52,0.0,0.065,0.935,1322.373126550358,81.18409829291579,26,0.0
53,0.0,0.06,0.94,1311.630438672366,81.46775969090115,26,0.0
54,0.0,0.06,0.94,1311.630438672366,81.46775969090115,26,0.0
55,0.0,0.06,0.94,1311.630438672366,81.46775969090115,26,0.0
56,0.0,0.06,0.94,1311.630438672366,81.46775969090115,26,0.0
57,0.0,0.06,0.94,1311.630438672366,81.46775969090115,26,0.0
0,0.0,0.94,0.06,867.3600365373961,5.335363051260898,26,0.5
1,0.0,0.895,0.105,945.8755617648405,9.876496739757563,26,0.5
2,0.0,0.85,0.15,1051.2038100650725,14.752688944522667,26,0.5
3,0.0,0.805,0.195,1137.6803150664914,18.472707919707688,26,0.5
4,0.0,0.765,0.235,1238.4038748796233,22.556394104320077,26,0.5
